Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
234,9.8458536239,1.0,0.826301585414,1.5,1.7511665124,11.8443174961,14.1550796685,14.0045711134,H,-5.064607694,0.01645230303,9.8458536239,pbe,Spin: 0,8.6505683437,uks,doubles
235,9.8049867324,1.0,0.723879446124,1.5,1.55042600257,12.3637247811,13.5827750033,13.9428288163,H,-4.962087973,0.0109829155,9.8049867324,pbe,Spin: 0,7.72470076352,uks,doubles
236,9.8418081737,1.0,0.728529490078,1.5,1.52123126422,12.3465489307,13.8288617337,14.2122766636,H,-4.976141197,0.007672889055,9.8418081737,pbe,Spin: 0,7.70147316528,uks,doubles
237,9.9125573809,1.0,1.24545712296,1.75,1.6626524706,10.8898994887,15.1195164389,14.1268116729,H,-5.232174582,0.001711856505,9.9125573809,pbe,Spin: 0,12.0516572201,uks,doubles
238,9.8796258598,1.0,0.453859788029,1.75,1.42482656318,12.6041635831,13.6742086527,14.1041681934,H,-4.964871894,0.005533621321,9.8796258598,pbe,Spin: 0,7.164551666,uks,doubles
239,9.8754882477,1.0,0.518596682814,1.75,1.39708017341,12.782934728,13.8538566261,13.8080959769,H,-4.987220852,0.005602087378,9.8754882477,pbe,Spin: 0,7.13369736666,uks,doubles
240,9.890250168,1.0,0.477109965003,1.75,1.12826576783,13.204466097,13.9336448187,13.453100555,H,-4.959943553,0.008137450601,9.890250168,pbe,Spin: 0,6.25220239516,uks,doubles
241,9.8821389286,1.0,0.456479300351,1.75,1.1929461175,13.244423444,14.0890874441,13.5700765468,H,-4.94000512,0.006729387361,9.8821389286,pbe,Spin: 0,6.23883540966,uks,doubles
242,9.8926261104,1.0,0.43993377637,1.75,0.958525553,13.7745121755,14.0073108615,12.8282801541,H,-4.937442648,0.005530586344,9.8926261104,pbe,Spin: 0,5.71674136105,uks,doubles
244,9.8458417303,1.0,0.441883953415,1.75,1.45592069706,12.4634375418,13.625318976,14.2968899035,H,-4.976521425,0.002926845829,9.8458417303,pbe,Spin: 0,7.50979435918,uks,doubles
245,9.8891656229,1.0,0.616881037859,1.75,1.33720602855,12.7672682982,13.9292187914,13.9771318559,H,-5.014025936,0.004092353779,9.8891656229,pbe,Spin: 0,7.48132487217,uks,doubles
246,9.80094469494,1.0,0.407624789504,1.75,1.10894230834,13.5134758048,13.8507096073,13.7794853559,H,-4.922642828,0.004490552063,9.80094469494,pbe,Spin: 0,6.12196987501,uks,doubles
247,9.91227113162,1.0,0.540323783782,1.75,1.18294241992,13.371474852,14.0870021311,13.919540222,H,-4.973173135,0.006531900166,9.91227113162,pbe,Spin: 0,6.68334552313,uks,doubles
248,9.9329437173,1.0,0.568774054583,1.75,1.18171107127,13.6354613549,14.29837691,13.7152486018,H,-4.931181767,0.008438944574,9.9329437173,pbe,Spin: 0,6.4492298592,uks,doubles
250,9.8593767788,1.0,0.468989490591,1.75,1.46632448717,12.2999465333,13.6533141999,14.4124229206,H,-4.973904445,0.006026302057,9.8593767788,pbe,Spin: 0,7.55083040315,uks,doubles
251,9.8708267727,1.0,0.614748932586,1.75,1.37371951576,12.611505961,13.8884349416,14.1219334743,H,-4.999231226,0.006028031186,9.8708267727,pbe,Spin: 0,7.41447677732,uks,doubles
252,9.8833115933,1.0,0.478408892311,1.75,1.26661306851,13.3035163603,13.7725556641,14.0693904477,H,-4.936398076,0.009859550415,9.8833115933,pbe,Spin: 0,6.63152724403,uks,doubles
253,9.8756776925,1.0,0.470410979029,1.75,1.33189874126,12.5844039795,13.94825433,14.4844913839,H,-4.921383158,0.009336462923,9.8756776925,pbe,Spin: 0,6.65917411371,uks,doubles
